cachesize Ir I1mr ILmr Dr D1mr DLmr Dw D1mw DLmw d1readMR d1writeMR
8 0 0 0 0 0 0 0 0 0  
16 884216 5 5 442004 20001 0 40806 100 25 4.5250721712 .2450620006
32 884216 5 5 442004 10001 0 40806 51 25 2.2626492067 .1249816203
64 884216 5 5 442004 5001 0 40806 26 25 1.1314377245 .0637161201
128 884216 5 5 442004 2501 0 40806 13 12 .5658319834 .0318580600
256 884216 5 5 442004 1251 0 40806 7 6 .2830291128 .0171543400
512 884216 5 5 442004 626 0 40806 4 3 .1416276775 .0098024800
1024 884216 5 5 442004 314 0 40806 2 1 .0710400810 .0049012400
2048 884216 5 5 442004 158 0 40806 1 0 .0357462828 .0024506200
4096 884216 5 5 442004 80 0 40806 1 0 .0180993837 .0024506200
8192 884216 5 5 442004 5011 0 40806 26 25 1.1337001475 .0637161201
16384 884216 5 5 442004 5001 0 40806 26 25 1.1314377245 .0637161201
32768 884216 5 5 442004 5001 0 40806 26 25 1.1314377245 .0637161201
