cachesize Ir I1mr ILmr Dr D1mr DLmr Dw D1mw DLmw d1readMR d1writeMR
512 884216 5 5 442004 10201 0 40806 200 25 2.3078976660 .4901240013
1024 884216 5 5 442004 10201 0 40806 200 25 2.3078976660 .4901240013
2048 884216 5 5 442004 10201 0 40806 200 25 2.3078976660 .4901240013
4096 884216 5 5 442004 5072 0 40806 44 25 1.1475009275 .1078272803
8192 884216 5 5 442004 5011 0 40806 26 25 1.1337001475 .0637161201
16384 884216 5 5 442004 5001 0 40806 26 25 1.1314377245 .0637161201
32768 884216 5 5 442004 5001 0 40806 26 25 1.1314377245 .0637161201
65536 884216 5 5 442004 5001 0 40806 26 25 1.1314377245 .0637161201
131072 884216 5 5 442004 5001 0 40806 26 25 1.1314377245 .0637161201
262144 884216 5 5 442004 5001 0 40806 26 25 1.1314377245 .0637161201
524288 884216 5 5 442004 0 0 40806 25 25 0 .0612655001
1048576 884216 5 5 442004 0 0 40806 25 25 0 .0612655001
