cachesize Ir I1mr ILmr Dr D1mr DLmr Dw D1mw DLmw i1readMR
8 0 0 0 0 0 0 0 0 0 
16 884216 14 5 442004 5001 0 40806 26 25 .0015833235
32 884216 8 5 442004 5001 0 40806 26 25 .0009047563
64 884216 5 5 442004 5001 0 40806 26 25 .0005654726
128 884216 3 3 442004 5001 0 40806 26 25 .0003392836
256 884216 2 2 442004 5001 0 40806 26 25 .0002261890
512 884216 1 1 442004 5001 0 40806 26 25 .0001130945
1024 884216 0 0 442004 5001 0 40806 26 25 0
2048 884216 1 1 442004 5001 0 40806 26 25 .0001130945
4096 884216 1 1 442004 5001 0 40806 26 25 .0001130945
8192 884216 5 5 442004 5001 0 40806 26 25 .0005654726
16384 884216 5 5 442004 5001 0 40806 26 25 .0005654726
32768 884216 5 5 442004 5001 0 40806 26 25 .0005654726
