cachesize Ir I1mr ILmr Dr D1mr DLmr Dw D1mw DLmw llreadMR llwriteMR
8 0 0 0 0 0 0 0 0 0  
16 884216 5 5 442004 5001 1 40806 26 26 .0002262422 .0637161201
32 884216 5 5 442004 5001 0 40806 26 25 0 .0612655001
64 884216 5 5 442004 5001 0 40806 26 25 0 .0612655001
128 884216 5 3 442004 5001 0 40806 26 12 0 .0294074400
256 884216 5 2 442004 5001 0 40806 26 6 0 .0147037200
512 884216 5 1 442004 5001 0 40806 26 3 0 .0073518600
1024 884216 5 0 442004 5001 0 40806 26 1 0 .0024506200
2048 884216 5 0 442004 5001 0 40806 26 0 0 0
4096 884216 5 0 442004 5001 0 40806 26 0 0 0
8192 884216 5 0 442004 5001 0 40806 26 0 0 0
16384 884216 5 0 442004 5001 0 40806 26 0 0 0
32768 884216 5 0 442004 5001 0 40806 26 0 0 0
65536 884216 5 0 442004 5001 0 40806 26 0 0 0
131072 884216 5 0 442004 5001 0 40806 26 0 0 0
262144 884216 5 0 442004 5001 0 40806 26 0 0 0
524288 0 0 0 0 0 0 0 0 0  
1048576 0 0 0 0 0 0 0 0 0  
2097152 0 0 0 0 0 0 0 0 0  
4194304 0 0 0 0 0 0 0 0 0  
