cachesize Ir I1mr ILmr Dr D1mr DLmr Dw D1mw DLmw llreadMR llwriteMR
1536 884216 5 4 442004 5001 5001 40806 26 26 1.1314377245 .0637161201
3072 884216 5 5 442004 5001 5001 40806 26 26 1.1314377245 .0637161201
6144 884216 5 5 442004 5001 5001 40806 26 26 1.1314377245 .0637161201
12288 884216 5 5 442004 5001 5001 40806 26 26 1.1314377245 .0637161201
24576 884216 5 5 442004 5001 5001 40806 26 26 1.1314377245 .0637161201
49152 884216 5 5 442004 5001 5001 40806 26 26 1.1314377245 .0637161201
98304 884216 5 5 442004 5001 5001 40806 26 26 1.1314377245 .0637161201
196608 884216 5 5 442004 5001 5001 40806 26 26 1.1314377245 .0637161201
393216 884216 5 5 442004 5001 0 40806 26 25 0 .0612655001
786432 884216 5 5 442004 5001 0 40806 26 25 0 .0612655001
1572864 884216 5 5 442004 5001 0 40806 26 25 0 .0612655001
3145728 884216 5 5 442004 5001 0 40806 26 25 0 .0612655001
6291456 884216 5 5 442004 5001 0 40806 26 25 0 .0612655001
12582912 884216 5 5 442004 5001 0 40806 26 25 0 .0612655001
25165824 884216 5 5 442004 5001 0 40806 26 25 0 .0612655001
